Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.14538346913293745,-2.1917578167028084,0.3858303778591038,1,
MINT,Scrypt,PoS,21293925445.0,0.0,-0.034692411759025266,0.8396481373709339,-0.2662803039330137,0,
MINC,Scrypt,PoW,5804204.888,10000000.0,-0.16465022271221838,-1.102070857861043,-0.010989606562385212,1,
MZC,SHA-256,PoW/PoS,1613836100.0,2419200000.0,-0.26276348370242636,0.7910510122217321,-0.3099206588275605,0,
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.29478256168707667,0.831628621759301,-0.25664519553174486,0,
NAV,X13,PoW/PoS,66087096.21,0.0,-0.26619182504101807,1.7297795927532555,-0.5546284252999711,0,
NOBL,Scrypt,PoW,2366066306.0,15000000000.0,-0.029371838915519782,-1.1081544737915,-0.01328079944166335,1,
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.14182043647497267,-1.3702780190911577,0.1605313816070735,1,
NYAN,Scrypt,PoW,334709223.5,337000000.0,-0.1583066613405157,-1.102099109693342,-0.011165226606185002,1,
OPAL,X13,PoW/PoS,15156364.33,0.0,-0.2668146556771282,1.7297604151339623,-0.5546053594015519,0,
ORB,NeoScrypt,PoW/PoS,3220616.279,3770000.0,-0.334419420024988,0.5647364497457246,-0.24018008611159564,0,
POT,Scrypt,PoW/PoS,222677226.0,420000000.0,-0.3166108214730303,1.0596624845680815,-0.4806535391514203,0,
PXC,Scrypt,PoW/PoS,73959274.63,98000000.0,-0.3207153844793889,1.059756258940807,-0.48055993129291835,0,
RDD,Scrypt,PoW/PoS,29315567169.0,0.0,0.036183794077945725,1.0708125698262498,-0.4937951030137833,0,
RPC,Scrypt,PoW,1104157.422,21000000.0,-0.1646296098958816,-1.1020777441042404,-0.010988374890517877,1,
SBC,Scrypt,PoW,24215181.73,250000000.0,-0.1627213027230832,-1.1021755574589651,-0.011017513862119762,1,
SMC,Scrypt,PoW,25593737.14,51200000.0,-0.16411573605523133,-1.1020825697626944,-0.01100192837539201,1,
SUPER,X11,PoS,50707661.75,0.0,-0.3577492163058378,1.041265992605647,-0.16892190248522226,0,
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.38558954609696283,1.2693908370022797,-0.39278083500445976,0,
SYS,SHA-256,PoW,563336541.3,888000000.0,-0.12895674059741702,-1.3704747185076989,0.16021223366881418,1,
TES,Multiple,PoS,80260463.73,100000000.0,-0.2565868589445893,0.08570520331823989,0.03881801392356457,0,
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.1412835767811223,-1.3702792735441973,0.1605162172901027,1,
TIT,PHI1612,PoS,1622326490.0,2300000000.0,-0.3172672631124406,1.612742731631768,-0.21582259084601563,0,
TOR,X11,PoW/PoS,1431851.0,10000000.0,-0.38550106699400966,1.2693867248393749,-0.39278229824064786,0,
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.14157109105556748,-1.3702846996261868,0.16052595607855555,1,
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.14155394399832538,-1.3703101530576458,0.16053221303367862,1,
UNO,SHA-256,PoW,200911.7915,250000.0,-0.14214549593469858,-1.3702738408024635,0.1605396564699468,1,
URO,X11,PoW,1207310.0,0.0,-0.22805145840280797,-0.8924510936265578,0.07675090160504072,1,
USDE,Scrypt,PoW/PoS,1098952593.0,1600000000.0,-0.29751799006630875,1.0594435821231076,-0.4811466086390443,0,
UTC,Scrypt,PoW/PoS,50235211.14,100000000.0,-0.3209913073485382,1.0597463955389939,-0.4805493500346815,0,
VIA,Scrypt,PoW,23150892.17,23000000.0,-0.16434580282733818,-1.102070372824537,-0.010998522660585822,1,
VRC,Scrypt,PoST,32021108.41,0.0,-0.27968673037708963,0.41552742287992656,-0.2967683056061879,0,
VTC,Lyra2REv2,PoW,51173723.82,84000000.0,-0.19673706368881616,-1.2704847285456082,0.22229643531567878,1,
WDC,Scrypt,PoW,119606941.0,265420800.0,-0.1614452862340422,-1.1021468110795958,-0.011061972995908085,1,
XC,X11,PoW/PoS,6950831.097,5500000.0,-0.38546552126212463,1.2693908960759959,-0.3927844307960335,0,
XCR,Multiple,PoS,100000000.0,0.0,-0.2570553699105052,0.08575914949146136,0.038817227963480055,0,
XJO,SHA-256,PoW,39195739.36,45000000.0,-0.14135094656885033,-1.370279972306502,0.16051834735524886,1,
XST,X13,PoW/PoS,33093725.41,0.0,-0.2665953001407122,1.729767169324786,-0.5546134830104872,0,
ZCC,Scrypt,PoW/PoS,147990238.0,1000000000.0,-0.31340671627398853,1.0593645840560828,-0.4806670065623449,0,
BCN,CryptoNight,PoW,184067000000.0,184467000000.0,3.8579384240182195,-2.3127418534787303,0.24372170725598136,1,
XDN,CryptoNight,PoW,6906587610.0,10000000000.0,0.4528978021730019,-2.298299888453112,0.33818121197915707,1,
BURST,Shabal256,PoC,1813033920.0,2158812800.0,-0.6024952690000467,0.26791039823316887,-0.7748604580971027,0,
SJCX,Counterparty,PoS,51173144.0,500000000.0,-0.3566346090174307,1.626487803612646,-0.2610947152696435,0,
MONA,Scrypt,PoW,68194674.87,105120000.0,-0.16321198934704015,-1.1020916086880406,-0.011025618359138652,1,
NTRN,SHA-256,PoW/PoS,39121694.0,68000000.0,-0.29871191888167237,0.7915516869886426,-0.30901577726249146,0,
FAIR,Groestl,PoW/PoS,53193831.0,0.0,-0.34473184144229946,0.9779487918053638,-0.3502027844022232,0,
NLG,Scrypt,PoW,415032420.0,1680000000.0,-0.14779036339013807,-1.1026935393113055,-0.011311109947953023,1,
RBY,Scrypt,PoS,27184490.39,0.0,-0.2947628507221696,0.8316402912908057,-0.25664886003934,0,
PTC,Scrypt,PoW,137517654.4,166386000.0,-0.16192930982318424,-1.1020940024843353,-0.011062009405522691,1,
KORE,X13,PoW/PoS,2022464.887,12000000.0,-0.26689008117141333,1.7297498880475393,-0.5546003896807739,0,
WBB,Scrypt,PoW,181919.2436,2628000.0,-0.16477131171718407,-1.1020695459275198,-0.010986459198295584,1,
NOTE,Scrypt,PoS,174646113.9,500000000.0,-0.28941001995955273,0.8314632500299715,-0.25675641274292144,0,
FLO,Scrypt,PoW,152270664.9,160000000.0,-0.1617942301794591,-1.10208547699417,-0.011068170157780619,1,
8BIT,Scrypt,PoW/PoS,1467841.0,0.0,-0.32229758754576615,1.0597745459044268,-0.48051911006433173,0,
STV,X13,PoW/PoS,7096834.0,10000000.0,-0.2668422249446098,1.7297527290342898,-0.5546025247231375,0,
